ld50
56.8
135
126.4
123.6
254
36.1
176
47.5
77.2
78.1
51.7
84.6
87
105
22.4
180
84.3
67.8
69
293
129
121.4
58.4
61.8
58.6
41.2
71.1
64
33
35.8
14.7
45.8
30.3
300
221
446
300
429
300
500
500
433
300
300
504
404
510
282
268
123
290
103
13.7
