iter	RMSE
0	0.01638195428
1	0.0161850691
2	0.01600762692
3	0.01580448482
4	0.01563413899
5	0.01548605642
6	0.01533159384
7	0.01515959551
8	0.014943646
9	9	0.01548756001010	0.01528652451111	0.0150857329
12	0.01492723771313	0.01475580791414	0.01457265761515	0.01440888761616	0.01423312901717	0.01405807951818	0.01390392831919	0.013757468
20	0.01363470863
21	0.0134987023
22	0.01332724102
23	0.01317797957
24	0.01301712225
25	0.01287868775
26	0.01276108484
27	0.01261268378
2828	0.015604206429	0.01233465366
30	0.01219959249
31	0.01208112557
32	0.01195209372
3333	0.014664567434	0.01173193778
35	0.01164896887
36	0.01151649408
37	0.01141258417
38	0.01129326655
39	0.01117295318
40	0.01108035685
41	0.01097230188
42	0.01088440096
43	0.01075870105
44	0.01064595093
45	0.01053028635
46	0.01042162776
47	0.01031668522
48	0.01022539258
49	0.01013740718
50	0.01004010858
51	0.009949875628
52	0.009858837847
53	0.009763610145
54	0.009663978322
55	0.009568409047
56	0.009485312687
57	0.009412224482
58	0.009326763095
59	0.00925144738
60	0.00915910503
61	0.009085832071
62	0.009007596068
63	0.008927275343
64	0.008856548158
65	0.008781380449
66	0.008697924631
67	0.008621999999
68	0.008558114875
69	0.008488031037
70	0.008417091253
71	0.008345904453
72	0.008279534024
73	0.008216916039
74	0.008138340594
75	0.00807496183
76	0.00800416022
77	0.007943398087
78	0.00788380	0.0079	0.00781381	0.0080	0.007760550682
81	0.007692066529
82	0.00763051121
83	0.007571100007
84	0.007512077134
85	0.007464608713
86	0.007408000232
87	0.007346386705
88	0.007282554141
89	0.007217689434
90	0.007152203844
91	0.007108567544
92	0.007057257611
93	0.0070095	0.00894	0.0069496	0.00895	0.0068997	0.00896	0.0068398	0.00897	0.0067899	0.00798	0.00673100	0.099	0.0066840101	0.007847382292
102	0.007784212302
103	0.102	0.0065316104	0.103	0.006501890651
104	0.006454046996
105	0.006412410583
106	0.006367217422
107	0.006336560025
108	0.006289710888
109	0.006240802824
110	0.006199655648
111	0.006147837331
112	0.006106506879
113	0.006067110218
114	0.006027337647
115	0.005976368105
116	0.005930739319
117	0.005900727477
118	0.005860414148
119	0.005814995154
120	0.005770283738
121	0.005732130419
122	0.005696406366
123	0.005661603663
124	0.005626643599
125	0.005585139843
126	0.00555505266
127	0.005517863647
128	0.005485338562
129	0.005447017652
130	0.005402453141
131	0.005367801309
132	0.005324705096
133	0.005295595109
134	0.005264356066
135	0.005226954028
136	0.005193869079
137	0.005173306133
138	0.005141467243
139	0.005105451215
140	0.005079574781
141	0.005057441293
142	0.005022377988
143	0.004986354308
144	0.004958979894
145	0.004933663998
146	0.004897245606
147	0.004868425009
148	0.004840125562
149	0.004821971326
150	0.004788025123
151	0.004748560038
152	0.004727741452
153	0.004694126761
154	0.004661312726
155	0.004632753123
156	0.004611240333
157	0.004578113802
158	0.004560708539
159	0.004527454972
160	0.004494234181
161	0.004463822619
162	0.00443125715
163	0.004412492896
164	0.004388888981
165	0.004368236322
166	0.004334224104
167	0.004308846656
168	0.004291868517
169	0.004267238293
