"ld50"
51.5
125.3
21.8
36.3
18.5
220
78
29
69
40.1
18.5
54.1
25.3
110
70.7
24
25
15
250
495
130
92.5
430
195
195
230
145
5.9
7.3
25.9
205
16.5
6.2
15
2900
170
100
76.5
130
88
20.1
22.5
9
2.6
3.9
35.8
15.5
25.3
12.5
1.8
175
97.5
70
57
17.5
108.7
35.1
116
46.5
235
136
45
16.1
22.1
120
230
200
16
150
0.125
0.22
2.2
0.085
0.15
0.16
0.27
3.5
13.2
165
180
182
5
16.2
6
42.5
60.2
27.5
142.5
120
88
82
120
150
131
101
100
100
66
30
41
175
155
165
